P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,Dist
***,T,H,I,S, ,D,O,C,U,M,E,N,T, ,O,N,L,Y, ,C,O,N,T,A,I,N,S, ,T,H,E, ,5,0, ,S,H,O,R,T,E,S,T, ,R,O,U,T,E,S, ,F,O,U,N,D,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,17,42,89,100,78,6,77,69,45,62,51,56,97,88,39,4,44,31,59,76,86,60,7,28,80,85,9,24,10,2,73,18,53,67,14,38,55,11,96,34,16,91,32,22,99,92,30,54,68,58,41,81,50,1,36,19,27,15,43,64,29,63,47,72,3,40,35,33,46,5,49,95,20,57,13,71,21,90,74,70,84,48,52,23,65,75,12,66,82,87,94,79,8,25,37,26,61,83,93,14.276147537293
90,84,47,28,56,59,1,36,71,39,24,2,73,26,61,34,35,40,76,46,74,70,60,6,30,68,54,58,100,16,99,92,78,42,44,85,9,10,18,37,79,97,93,98,17,77,69,55,11,45,33,86,83,25,53,89,91,22,32,41,14,67,88,94,82,15,19,49,51,62,72,3,96,7,63,5,48,21,27,65,12,13,57,20,95,4,8,81,38,80,64,31,43,87,29,50,66,75,23,52,15.910480731759
10,9,39,57,13,66,12,71,50,49,21,52,65,75,1,59,97,8,42,38,77,6,69,96,3,40,34,11,55,17,98,56,93,31,64,82,15,36,23,19,27,48,90,46,74,70,60,76,7,72,28,80,94,85,24,2,61,88,43,87,79,81,54,68,22,16,89,83,67,14,58,100,41,53,37,4,20,95,44,29,86,33,35,62,51,63,5,84,47,45,92,99,32,91,30,78,25,26,73,18,14.8794610914572
31,97,93,59,65,66,12,75,23,19,27,49,43,94,61,25,53,67,37,26,18,10,9,85,14,41,58,54,68,78,80,29,5,48,21,90,74,40,34,3,81,38,91,22,32,99,42,17,28,84,47,7,72,45,62,51,77,30,16,92,6,69,55,11,96,35,60,70,46,50,57,20,95,82,71,52,76,86,33,63,87,64,89,100,98,56,15,36,1,13,39,44,88,79,8,83,73,2,24,4,15.3498115532678
85,67,58,54,68,96,34,40,35,60,86,76,5,48,21,52,27,49,15,36,1,87,93,98,56,97,31,44,26,53,78,6,69,79,88,4,20,57,82,43,94,73,61,59,47,7,3,92,99,91,22,32,30,16,39,95,64,80,81,42,17,63,84,29,50,71,13,66,75,12,65,23,19,90,46,74,70,33,72,62,51,28,25,37,83,8,38,45,11,55,77,100,89,41,14,18,2,24,10,9,15.6070145365387
17,98,51,62,28,80,59,36,65,12,75,23,19,66,20,95,39,9,85,4,44,31,64,87,43,57,13,50,29,56,8,97,93,38,77,69,6,99,92,32,22,55,96,7,86,76,47,46,90,84,5,49,15,1,71,82,94,61,24,10,88,79,26,73,2,18,37,25,83,41,89,42,11,45,72,63,27,52,21,48,74,70,60,33,35,40,34,3,100,14,53,67,58,54,68,91,16,30,78,81,13.6665753672923
48,29,64,59,17,100,89,41,37,26,18,58,16,92,6,55,11,72,7,86,33,60,70,74,40,35,76,47,63,28,80,8,83,14,67,53,25,42,38,45,3,34,96,21,52,90,46,84,51,81,79,2,24,10,39,4,88,61,73,85,9,82,57,20,95,44,97,56,93,31,94,43,87,98,77,78,30,91,54,68,22,32,99,69,62,5,49,50,71,13,66,12,75,23,65,36,1,15,19,27,14.015569060936
93,3,34,96,72,62,51,47,84,5,21,52,27,19,15,49,59,32,22,91,68,54,58,41,67,53,18,2,24,85,39,95,4,43,48,90,46,70,74,35,40,45,11,55,69,6,8,79,88,73,61,83,89,78,77,38,42,81,7,33,60,86,76,31,44,94,87,50,1,36,65,23,75,12,66,13,71,82,64,17,30,92,99,16,100,14,10,9,20,57,29,63,28,80,56,98,25,26,37,97,14.4673873898143
34,40,35,74,70,60,7,56,8,79,94,71,13,66,36,1,98,42,30,92,6,69,77,65,75,12,57,20,4,85,9,39,95,82,43,87,31,83,41,14,26,2,10,24,18,53,67,54,68,91,22,32,99,16,58,37,73,44,64,59,47,76,86,33,46,52,27,19,23,15,50,17,38,81,80,49,21,48,90,63,3,96,55,11,45,72,62,51,28,84,5,29,93,97,88,61,25,89,100,78,15.4366930906689
